id,name,code,user_type_id/id,chart_template_id/id,tag_ids/id,reconcile
pcg_711,Venituri aferente costurilor stocurilor de produse,711,account.data_account_type_revenue,l10n_ro.ro_chart_template,l10n_ro.account_tag_pnl_production_costs,False
pcg_712,Venituri aferente costurilor serviciilor în curs de execuție,712,account.data_account_type_revenue,l10n_ro.ro_chart_template,l10n_ro.account_tag_pnl_production_costs,False
pcg_721,Venituri din producția de imobilizări necorporale,721,account.data_account_type_revenue,l10n_ro.ro_chart_template,l10n_ro.account_tag_pnl_revenues_nc_assets_prod,False
pcg_722,Venituri din producția de imobilizări corporale,722,account.data_account_type_revenue,l10n_ro.ro_chart_template,l10n_ro.account_tag_pnl_revenues_nc_assets_prod,False
pcg_725,Venituri din producția de investiții imobiliare,725,account.data_account_type_revenue,l10n_ro.ro_chart_template,l10n_ro.account_tag_pnl_revenues_nc_assets_prod,False
pcg_7411,Venituri din subvenții de exploatare aferente cifrei de afaceri,7411,account.data_account_type_revenue,l10n_ro.ro_chart_template,l10n_ro.account_tag_pnl_net_turnover,False
pcg_7412,Venituri din subvenții de exploatare pentru materii prime și materiale,7412,account.data_account_type_revenue,l10n_ro.ro_chart_template,l10n_ro.account_tag_pnl_operating_grants_income,False
pcg_7413,Venituri din subvenții de exploatare pentru alte cheltuieli externe,7413,account.data_account_type_revenue,l10n_ro.ro_chart_template,l10n_ro.account_tag_pnl_operating_grants_income,False
pcg_7414,Venituri din subvenții de exploatare pentru plata personalului,7414,account.data_account_type_revenue,l10n_ro.ro_chart_template,l10n_ro.account_tag_pnl_operating_grants_income,False
pcg_7415,Venituri din subvenții de exploatare pentru asigurări și protecție socială,7415,account.data_account_type_revenue,l10n_ro.ro_chart_template,l10n_ro.account_tag_pnl_operating_grants_income,False
pcg_7416,Venituri din subvenții de exploatare pentru alte cheltuieli de exploatare,7416,account.data_account_type_revenue,l10n_ro.ro_chart_template,l10n_ro.account_tag_pnl_operating_grants_income,False
pcg_7417,Venituri din subvenții de exploatare în caz de calamități și alte evenimente similare,7417,account.data_account_type_revenue,l10n_ro.ro_chart_template,l10n_ro.account_tag_pnl_operating_grants_income,False
pcg_7418,Venituri din subvenții de exploatare pentru dobânda datorată,7418,account.data_account_type_revenue,l10n_ro.ro_chart_template,l10n_ro.account_tag_pnl_income_operating_subsidies_debt_due,False
pcg_7419,Venituri din subvenții de exploatare aferente altor venituri,7419,account.data_account_type_revenue,l10n_ro.ro_chart_template,l10n_ro.account_tag_pnl_operating_grants_income,False
pcg_7511,Venituri ocazionate de constituirea fiduciei,7511,account.data_account_type_revenue,l10n_ro.ro_chart_template,l10n_ro.account_tag_pnl_other_operating_revenues,False
pcg_7512,Venituri din derularea operațiunilor de fiducie,7512,account.data_account_type_revenue,l10n_ro.ro_chart_template,l10n_ro.account_tag_pnl_other_operating_revenues,False
pcg_7513,Venituri din lichidarea operațiunilor de fiducie,7513,account.data_account_type_revenue,l10n_ro.ro_chart_template,l10n_ro.account_tag_pnl_other_operating_revenues,False
